Categoría: Todas las categorías

Semana,Dengue: (Argentina)
2018-01-07,34
2018-01-14,39
2018-01-21,47
2018-01-28,46
2018-02-04,37
2018-02-11,38
2018-02-18,42
2018-02-25,49
2018-03-04,54
2018-03-11,46
2018-03-18,55
2018-03-25,58
2018-04-01,64
2018-04-08,100
2018-04-15,94
2018-04-22,82
2018-04-29,73
2018-05-06,78
2018-05-13,73
2018-05-20,54
2018-05-27,52
2018-06-03,30
2018-06-10,39
2018-06-17,30
2018-06-24,24
2018-07-01,23
2018-07-08,15
2018-07-15,11
2018-07-22,17
2018-07-29,24
2018-08-05,30
2018-08-12,19
2018-08-19,27
2018-08-26,32
2018-09-02,26
2018-09-09,21
2018-09-16,17
2018-09-23,15
2018-09-30,18
2018-10-07,16
2018-10-14,26
2018-10-21,24
2018-10-28,18
2018-11-04,31
2018-11-11,27
2018-11-18,30
2018-11-25,32
2018-12-02,22
2018-12-09,25
2018-12-16,29
2018-12-23,45
2018-12-30,33
