Categoría: Todas las categorías

Semana,Dengue: (Argentina)
2022-01-02,92
2022-01-09,96
2022-01-16,71
2022-01-23,79
2022-01-30,100
2022-02-06,97
2022-02-13,73
2022-02-20,69
2022-02-27,86
2022-03-06,82
2022-03-13,95
2022-03-20,75
2022-03-27,69
2022-04-03,76
2022-04-10,73
2022-04-17,69
2022-04-24,65
2022-05-01,67
2022-05-08,65
2022-05-15,51
2022-05-22,31
2022-05-29,42
2022-06-05,41
2022-06-12,43
2022-06-19,34
2022-06-26,43
2022-07-03,35
2022-07-10,29
2022-07-17,21
2022-07-24,28
2022-07-31,31
2022-08-07,34
2022-08-14,27
2022-08-21,55
2022-08-28,48
2022-09-04,35
2022-09-11,42
2022-09-18,32
2022-09-25,38
2022-10-02,50
2022-10-09,44
2022-10-16,45
2022-10-23,49
2022-10-30,47
2022-11-06,62
2022-11-13,54
2022-11-20,43
2022-11-27,46
2022-12-04,40
2022-12-11,37
2022-12-18,35
2022-12-25,50
