Categoría: Todas las categorías

Semana,Dengue: (Argentina)
2021-01-03,58
2021-01-10,83
2021-01-17,82
2021-01-24,89
2021-01-31,63
2021-02-07,83
2021-02-14,100
2021-02-21,91
2021-02-28,77
2021-03-07,75
2021-03-14,86
2021-03-21,74
2021-03-28,62
2021-04-04,83
2021-04-11,97
2021-04-18,82
2021-04-25,79
2021-05-02,59
2021-05-09,45
2021-05-16,45
2021-05-23,35
2021-05-30,36
2021-06-06,34
2021-06-13,32
2021-06-20,24
2021-06-27,22
2021-07-04,22
2021-07-11,13
2021-07-18,11
2021-07-25,13
2021-08-01,15
2021-08-08,15
2021-08-15,16
2021-08-22,20
2021-08-29,17
2021-09-05,18
2021-09-12,15
2021-09-19,22
2021-09-26,17
2021-10-03,23
2021-10-10,24
2021-10-17,23
2021-10-24,28
2021-10-31,21
2021-11-07,32
2021-11-14,24
2021-11-21,28
2021-11-28,26
2021-12-05,19
2021-12-12,24
2021-12-19,23
2021-12-26,27
